Match Number,Team 1,Team 2
1,KKR,RCB
2,SRH,RR
3,CHE,MI
4,DC,LSG
5,GT,PBKS
6,RR,KKR
7,SRH,LSG
8,CHE,RCB
9,GT,MI
10,DC,SRH
11,RR,CHE
12,MI,KKR
13,LSG,PBKS
14,RCB,GT
15,KKR,SRH
16,LSG,MI
17,CHE,DC
18,PBKS,RR
20,SRH,GT
21,MI,RCB
19,KKR,LSG
22,PBKS,CHE
23,GT,RR
24,RCB,DC
25,CHE,KKR
26,LSG,GT
27,SRH,PBKS
28,RR,RCB
29,DC,MI
30,LSG,CHE
31,PBKS,KKR
32,DC,RR
33,MI,SRH
34,RCB,PBKS
35,GT,DC
36,RR,LSG
37,PBKS,RCB
38,MI,CHE
39,KKR,GT
40,LSG,DC
41,SRH,MI
42,RCB,RR
43,CHE,SRH
44,KKR,PBKS
45,MI,LSG
46,DC,RCB
47,RR,GT
48,DC,KKR
49,CHE,PBKS
50,RR,MI
51,GT,SRH
52,RCB,CHE
53,KKR,RR
54,PBKS,LSG
55,SRH,DC
56,MI,GT
57,KKR,CHE
58,PBKS,DC
59,LSG,RCB
60,SRH,KKR
61,PBKS,MI
62,DC,GT
63,CHE,RR
64,RCB,SRH
65,GT,LSG
66,MI,DC
67,RR,PBKS
68,RCB,KKR
69,GT,CHE
70,LSG,SRH
